source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[anticancer treatment]	factor value[cell attachment state]
RKO untreated control detached replicate 1	Homo sapiens	epithelial cell	RKO	1	Set3_RKO_CTRL_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_RKO_CTRL_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
RKO paclitaxel attached replicate 1	Homo sapiens	epithelial cell	RKO	1	Set3_RKO_PCTL_attached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_RKO_PCTL_attached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	paclitaxel	attached
RKO 5-fluorouracil detached replicate 2	Homo sapiens	epithelial cell	RKO	2	Set2_RKO_5-FU_detached_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set2_RKO_5-FU_detached_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5-fluorouracil	detached
A375 untreated control detached replicate 1	Homo sapiens	epithelial cell	A375	1	Set1_A375_CTRL_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_A375_CTRL_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
RKO untreated control detached replicate 2	Homo sapiens	epithelial cell	RKO	2	Set2_RKO_CTRL_detached_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set2_RKO_CTRL_detached_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
HCT116 untreated control detached replicate 2	Homo sapiens	epithelial cell	HCT116	2	Set1_HCT116_CTRL_detached_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_HCT116_CTRL_detached_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
A375 untreated control attached replicate 1	Homo sapiens	epithelial cell	A375	1	Set1_A375_CTRL_attached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_A375_CTRL_attached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	attached
A375 methotrexate attached replicate 2	Homo sapiens	epithelial cell	A375	2	Set2_A375_MTX_attached_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set2_A375_MTX_attached_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	methotrexate	attached
HCT116 methotrexate attached replicate 2	Homo sapiens	epithelial cell	HCT116	2	Set3_HCT116_MTX_attached_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_HCT116_MTX_attached_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	methotrexate	attached
HCT116 5-fluorouracil detached replicate 3	Homo sapiens	epithelial cell	HCT116	3	Set1_HCT116L_5-FU_detached_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_HCT116L_5-FU_detached_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5-fluorouracil	detached
A375 5-fluorouracil detached replicate 1	Homo sapiens	epithelial cell	A375	1	Set1_A375_5-FU_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_A375_5-FU_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5-fluorouracil	detached
HCT116 untreated control detached replicate 3	Homo sapiens	epithelial cell	HCT116	3	Set1_HCT116_CTRL_detached_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_HCT116_CTRL_detached_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
HCT116 paclitaxel detached replicate 1	Homo sapiens	epithelial cell	HCT116	1	Set3_HCT116_PCTL_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_HCT116_PCTL_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	paclitaxel	detached
A375 5-fluorouracil attached replicate 1	Homo sapiens	epithelial cell	A375	1	Set1_A375_5-FU_attached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set1_A375_5-FU_attached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5-fluorouracil	attached
HCT116 untreated control attached replicate 1	Homo sapiens	epithelial cell	HCT116	1	Set3_HCT116_CTRL_attached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_HCT116_CTRL_attached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	attached
RKO untreated control detached replicate 1	Homo sapiens	epithelial cell	RKO	1	Set2_RKO_CTRL_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set2_RKO_CTRL_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
HCT116 methotrexate detached replicate 1	Homo sapiens	epithelial cell	HCT116	1	Set3_HCT116_MTX_detached_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_HCT116_MTX_detached_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	methotrexate	detached
HCT116 untreated control detached replicate 3	Homo sapiens	epithelial cell	HCT116	3	Set3_HCT116_CTRL_detached_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Set3_HCT116_CTRL_detached_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated control	detached
