source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted data group]	factor value[developmental stage]
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac75mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac75mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac100mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac100mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac125mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac125mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac125mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac125mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac150mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac150mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac150mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac150mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac175mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac175mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac175mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac175mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac200mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac200mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac200mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac200mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac225250mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac225250mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac225mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac225mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac225mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac225mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac250mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac250mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac275mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac275mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac275mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac275mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac300mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac300mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac300mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac300mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac325mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac325mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac350mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac350mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac75mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac75mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR3	Oomycetes	whole organism	3	2015LanaItraqBR3Frac75mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR3Frac75mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR3	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro100mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro100mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro100mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro100mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro125mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro125mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro125mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro125mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro150mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro150mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro175mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro175mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro200mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro200mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro200mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro200mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro225mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro225mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro225mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro225mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro250mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro250mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro250mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro250mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro275mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro275mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro275mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro275mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
Saprolegnia developmental-stage sample BR5	Oomycetes	whole organism	5	2015LanaSapro75mMBR5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro75mMBR5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR5	not stage-resolved
Saprolegnia developmental-stage sample BR6	Oomycetes	whole organism	6	2015LanaSapro75mMBR6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaSapro75mMBR6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR6	not stage-resolved
