source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[temperature]
20210810_TPP_20alpha_62_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_20alpha_62_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_20alpha_62_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	62 degree Celsius
20210810_TPP_20alpha_67_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_20alpha_67_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_20alpha_67_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	67 degree Celsius
20210811_TPP_20ACTH_42_001	Homo sapiens	cell culture	permanent cell line cell	001	20210811_TPP_20ACTH_42_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210811_TPP_20ACTH_42_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20ACTH	42 degree Celsius
20210812_TPP_100ACTH_42_002	Homo sapiens	cell culture	permanent cell line cell	002	20210812_TPP_100ACTH_42_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210812_TPP_100ACTH_42_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	42 degree Celsius
20210812_TPP_100ACTH_47_002	Homo sapiens	cell culture	permanent cell line cell	002	20210812_TPP_100ACTH_47_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210812_TPP_100ACTH_47_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	47 degree Celsius
20210812_TPP_100ACTH_62_002	Homo sapiens	cell culture	permanent cell line cell	002	20210812_TPP_100ACTH_62_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210812_TPP_100ACTH_62_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	62 degree Celsius
20210813_TPP_20ACTH_42_002	Homo sapiens	cell culture	permanent cell line cell	002	20210813_TPP_20ACTH_42_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210813_TPP_20ACTH_42_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20ACTH	42 degree Celsius
20210820_TPP_ACTH20_37_003	Homo sapiens	cell culture	permanent cell line cell	003	20210820_TPP_ACTH20_37_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210820_TPP_ACTH20_37_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ACTH20	37 degree Celsius
20210820_TPP_ACTH20_42_003	Homo sapiens	cell culture	permanent cell line cell	003	20210820_TPP_ACTH20_42_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210820_TPP_ACTH20_42_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ACTH20	42 degree Celsius
20210820_TPP_ACTH20_62_004	Homo sapiens	cell culture	permanent cell line cell	004	20210820_TPP_ACTH20_62_004	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210820_TPP_ACTH20_62_004.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ACTH20	62 degree Celsius
20210823_TPP_ACTH100_37_003	Homo sapiens	cell culture	permanent cell line cell	003	20210823_TPP_ACTH100_37_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210823_TPP_ACTH100_37_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ACTH100	37 degree Celsius
20210826_100alpha_47_006	Homo sapiens	cell culture	permanent cell line cell	006	20210826_100alpha_47_006	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_100alpha_47_006.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	47 degree Celsius
20210826_100alpha_52_005	Homo sapiens	cell culture	permanent cell line cell	005	20210826_100alpha_52_005	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_100alpha_52_005.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	52 degree Celsius
20210826_20alpha_42_007	Homo sapiens	cell culture	permanent cell line cell	007	20210826_20alpha_42_007	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_20alpha_42_007.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	42 degree Celsius
20210826_20alpha_47_005	Homo sapiens	cell culture	permanent cell line cell	005	20210826_20alpha_47_005	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_20alpha_47_005.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	47 degree Celsius
20210826_20alpha_47_007	Homo sapiens	cell culture	permanent cell line cell	007	20210826_20alpha_47_007	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_20alpha_47_007.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	47 degree Celsius
20210826_20alpha_57_006	Homo sapiens	cell culture	permanent cell line cell	006	20210826_20alpha_57_006	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210826_20alpha_57_006.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	57 degree Celsius
20210827_100ACTH_57_005	Homo sapiens	cell culture	permanent cell line cell	005	20210827_100ACTH_57_005	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210827_100ACTH_57_005.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	57 degree Celsius
