source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[disease]	factor value[TMT set]	factor value[HiRIEF pH range]
TMT set 2 channel 129N dementia with Lewy bodies sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	dementia with Lewy bodies	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dementia with Lewy bodies	TMT set 2	3-10
TMT set 2 channel 129C Alzheimer's disease sample 3	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	3	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 2	3-10
TMT set 2 channel 130N older adult without dementia sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 2	3-10
TMT set 2 channel 130C Alzheimer's disease sample 4	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	4	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 2	3-10
TMT set 2 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset2_250ug_IPG3-10_50min_10of15ul_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 2	3-10
TMT set 4 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 4	3-10
TMT set 4 channel 127N Alzheimer's disease sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 channel 127C older adult without dementia sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
TMT set 4 channel 128N older adult without dementia sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
TMT set 4 channel 128C dementia with Lewy bodies sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	dementia with Lewy bodies	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dementia with Lewy bodies	TMT set 4	3-10
TMT set 4 channel 129N Parkinson's disease with dementia sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 4	3-10
TMT set 4 channel 129C Alzheimer's disease sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 channel 130N Parkinson's disease with dementia sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 4	3-10
TMT set 4 channel 130C Alzheimer's disease sample 9	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	9	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 4	3-10
TMT set 4 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 4	3-10
TMT set 4 channel 127N Alzheimer's disease sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 channel 127C older adult without dementia sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
TMT set 4 channel 128N older adult without dementia sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
TMT set 4 channel 128C dementia with Lewy bodies sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	dementia with Lewy bodies	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dementia with Lewy bodies	TMT set 4	3-10
TMT set 4 channel 129N Parkinson's disease with dementia sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 4	3-10
TMT set 4 channel 129C Alzheimer's disease sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 channel 130N Parkinson's disease with dementia sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	Parkinson's disease with dementia	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Parkinson's disease with dementia	TMT set 4	3-10
TMT set 4 channel 130C Alzheimer's disease sample 9	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	9	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 4	3-10
TMT set 4 pooled internal standard	Homo sapiens	prefrontal cortex (Brodmann area 9)	pooled internal standard	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pooled internal standard	TMT set 4	3-10
TMT set 4 channel 127N Alzheimer's disease sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	Alzheimer's disease	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Alzheimer's disease	TMT set 4	3-10
TMT set 4 channel 127C older adult without dementia sample 7	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	7	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
TMT set 4 channel 128N older adult without dementia sample 8	Homo sapiens	prefrontal cortex (Brodmann area 9)	older adult without dementia	8	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Rui_Erika_Synaptic_Proteomics_BA9_TMTset4_250ug_IPG3-10_50min_10of15ul_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	older adult without dementia	TMT set 4	3-10
