source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted run series]
20200226_PISA_PSC_2-8 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-8
20200226_PISA_PSC_2-16 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-16
20200226_PISA_PSC_2-13 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-13
20200226_PISA_PSC_3-9 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-9
20200226_PISA_PSC_1-10 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-10
20200226_PISA_PSC_3-5 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-5
20200226_PISA_PSC_3-16 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-16
20200226_PISA_PSC_1-11 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-11
20200226_PISA_PSC_1-8 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-8
20200226_PISA_PSC_2-12 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-12
20200226_PISA_PSC_3-6 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-6
20200226_PISA_PSC_1-17 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-17
20200226_PISA_PSC_3-12 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-12
