source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[digest type]
human brain microvessel sample 37	Homo sapiens	brain microvessel	brain microvascular endothelial cell	37	LysCsample37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 37	Homo sapiens	brain microvessel	brain microvascular endothelial cell	37	TrypSample37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 38	Homo sapiens	brain microvessel	brain microvascular endothelial cell	38	LysCsample38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 38	Homo sapiens	brain microvessel	brain microvascular endothelial cell	38	TrypSample38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 39	Homo sapiens	brain microvessel	brain microvascular endothelial cell	39	TrypSample39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 40	Homo sapiens	brain microvessel	brain microvascular endothelial cell	40	LysCsample40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 40	Homo sapiens	brain microvessel	brain microvascular endothelial cell	40	TrypSample40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 41	Homo sapiens	brain microvessel	brain microvascular endothelial cell	41	LysCsample41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 41	Homo sapiens	brain microvessel	brain microvascular endothelial cell	41	TrypSample41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 42	Homo sapiens	brain microvessel	brain microvascular endothelial cell	42	LysCsample42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 42	Homo sapiens	brain microvessel	brain microvascular endothelial cell	42	TrypSample42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 43	Homo sapiens	brain microvessel	brain microvascular endothelial cell	43	LysCsample43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 43	Homo sapiens	brain microvessel	brain microvascular endothelial cell	43	TrypSample43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 44	Homo sapiens	brain microvessel	brain microvascular endothelial cell	44	LysCsample44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 44	Homo sapiens	brain microvessel	brain microvascular endothelial cell	44	TrypSample44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 45	Homo sapiens	brain microvessel	brain microvascular endothelial cell	45	LysCsample45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 45	Homo sapiens	brain microvessel	brain microvascular endothelial cell	45	TrypSample45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 46	Homo sapiens	brain microvessel	brain microvascular endothelial cell	46	LysCsample46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 46	Homo sapiens	brain microvessel	brain microvascular endothelial cell	46	TrypSample46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 47	Homo sapiens	brain microvessel	brain microvascular endothelial cell	47	LysCsample47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 47	Homo sapiens	brain microvessel	brain microvascular endothelial cell	47	TrypSample47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 48	Homo sapiens	brain microvessel	brain microvascular endothelial cell	48	LysCsample48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 48	Homo sapiens	brain microvessel	brain microvascular endothelial cell	48	TrypSample48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 49	Homo sapiens	brain microvessel	brain microvascular endothelial cell	49	LysCsample49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 49	Homo sapiens	brain microvessel	brain microvascular endothelial cell	49	TrypSample49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 50	Homo sapiens	brain microvessel	brain microvascular endothelial cell	50	LysCsample50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 50	Homo sapiens	brain microvessel	brain microvascular endothelial cell	50	TrypSample50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
