source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
180130_LM_HCC38_Benign_W6-32_Adjusted_Rep3_25cm90min3s_msms45	Homo sapiens	liver	not available	30	study sample	benign/non-tumor	tissue	180130_LM_HCC38_Benign_W6-32_Adjusted_Rep3_25cm90min3s_msms45.raw	proteomic profiling by mass spectrometry	1	180130_LM_HCC38_Benign_W6-32_Adjusted_Rep3_25cm90min3s_msms45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
180130_LM_HCC38_Tumor_W6-32_8_Rep3_25cm90min3s_msms50	Homo sapiens	liver	not available	31	study sample	tumor	tissue	180130_LM_HCC38_Tumor_W6-32_8_Rep3_25cm90min3s_msms50.raw	proteomic profiling by mass spectrometry	1	180130_LM_HCC38_Tumor_W6-32_8_Rep3_25cm90min3s_msms50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
180130_LM_HCC38_Tumor_W6-32_8_Rep4_25cm90min3s_msms51	Homo sapiens	liver	not available	31	study sample	tumor	tissue	180130_LM_HCC38_Tumor_W6-32_8_Rep4_25cm90min3s_msms51.raw	proteomic profiling by mass spectrometry	1	180130_LM_HCC38_Tumor_W6-32_8_Rep4_25cm90min3s_msms51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC025_AdjacentBenign_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms21_181116232855	Homo sapiens	liver	not available	32	study sample	benign/non-tumor	tissue	181115_LF_HCC025_AdjacentBenign_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms21_181116232855.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC025_AdjacentBenign_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms21_181116232855.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC025_Tumor_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms23	Homo sapiens	liver	not available	33	study sample	tumor	tissue	181115_LF_HCC025_Tumor_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms23.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC025_Tumor_ALB_W6-32_320-670mz_tMS2OT_scheduledRT_msms23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms30	Homo sapiens	liver	not available	34	study sample	benign/non-tumor	tissue	181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms30.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_DDA_300-650mz_msms31	Homo sapiens	liver	not available	34	study sample	benign/non-tumor	tissue	181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_DDA_300-650mz_msms31.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC026_AdjacentBenign_RECQL_W6-32_DDA_300-650mz_msms31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC026_RECQL_6_SynpepsinJY_10_fmol-ul_W6-32_DDA_300-650mz_msms36	Homo sapiens	liver	not available	35	study sample	not available	tissue	181115_LF_HCC026_RECQL_6_SynpepsinJY_10_fmol-ul_W6-32_DDA_300-650mz_msms36.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC026_RECQL_6_SynpepsinJY_10_fmol-ul_W6-32_DDA_300-650mz_msms36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
181115_LF_HCC026_Tumor_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms32	Homo sapiens	liver	not available	36	study sample	tumor	tissue	181115_LF_HCC026_Tumor_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms32.raw	proteomic profiling by mass spectrometry	1	181115_LF_HCC026_Tumor_RECQL_W6-32_300-650mz_tMS2OT_scheduledRT_msms32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH024025PR_20141121_CO_0536MaLo_R01_	Homo sapiens	not available	not available	37	study sample	not available	tissue	QH024025PR_20141121_CO_0536MaLo_R01_.raw	proteomic profiling by mass spectrometry	1	QH024025PR_20141121_CO_0536MaLo_R01_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH024026P1_20150318142057_20150313_CO_0536MaLo_QBIC_R08_	Homo sapiens	not available	not available	38	study sample	not available	tissue	QH024026P1_20150318142057_20150313_CO_0536MaLo_QBIC_R08_.raw	proteomic profiling by mass spectrometry	1	QH024026P1_20150318142057_20150313_CO_0536MaLo_QBIC_R08_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH025018PF_20150210_CO_0536MaLo_R06_	Homo sapiens	not available	not available	39	study sample	not available	tissue	QH025018PF_20150210_CO_0536MaLo_R06_.raw	proteomic profiling by mass spectrometry	1	QH025018PF_20150210_CO_0536MaLo_R06_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH025019PN_20150318141957_20150313_CO_0536MaLo_QBIC_R09_	Homo sapiens	not available	not available	40	study sample	not available	tissue	QH025019PN_20150318141957_20150313_CO_0536MaLo_QBIC_R09_.raw	proteomic profiling by mass spectrometry	1	QH025019PN_20150318141957_20150313_CO_0536MaLo_QBIC_R09_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH025020PQ_20141121_CO_0536MaLo_R02_	Homo sapiens	not available	not available	41	study sample	not available	tissue	QH025020PQ_20141121_CO_0536MaLo_R02_.raw	proteomic profiling by mass spectrometry	1	QH025020PQ_20141121_CO_0536MaLo_R02_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH027015P1_20150324150458_20150321_CO_0536MaLo_R11_	Homo sapiens	not available	not available	42	study sample	not available	tissue	QH027015P1_20150324150458_20150321_CO_0536MaLo_R11_.raw	proteomic profiling by mass spectrometry	1	QH027015P1_20150324150458_20150321_CO_0536MaLo_R11_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
QH036012PA_20151202111842_20151127_CO_0536MaLo_R15_	Homo sapiens	not available	not available	43	study sample	not available	tissue	QH036012PA_20151202111842_20151127_CO_0536MaLo_R15_.raw	proteomic profiling by mass spectrometry	1	QH036012PA_20151202111842_20151127_CO_0536MaLo_R15_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
